"36","1","rights","Rights","Information about rights held in and over the resource."
"37","1","rightsHolder","Rights Holder","A person or organization owning or managing rights over the resource."
"38","1","spatial","Spatial Coverage","Spatial characteristics of the resource."
"39","1","subject","Subject","The topic of the resource."
"40","1","tableOfContents","Table Of Contents","A list of subunits of the resource."
"41","1","temporal","Temporal Coverage","Temporal characteristics of the resource."
"42","1","type","Type","The nature or genre of the resource."
"43","2","annotates","annotates","Critical or explanatory note for a Document."
"44","2","citedBy","cited by","Relates a document to another document that cites the first document."
"45","2","cites","cites","Relates a document to another document that is cited by the first document as reference, comment, review, quotation or for another purpose."
"46","2","reviewOf","review of","Relates a review document to a reviewed thing (resource, item, etc.)."
"47","2","reproducedIn","reproduced in","The resource in which another resource is reproduced."
"48","2","affirmedBy","affirmed by","A legal decision that affirms a ruling."
"49","2","reversedBy","reversed by","A legal decision that reverses a ruling."
"50","2","subsequentLegalDecision","subsequent legal decision","A legal decision on appeal that takes action on a case (affirming it, reversing it, etc.)."
"51","2","transcriptOf","transcript of","Relates a document to some transcribed original."
"52","2","translationOf","translation of","Relates a translated document to the original document."
"53","3","based_near","based near","A location that something is based near, for some broadly human notion of near."
"54","3","depiction","depiction","A depiction of some thing."
"55","3","depicts","depicts","A thing depicted in this representation."
"56","3","fundedBy","funded by","An organization funding a project or person."
"57","3","img","image","An image that can be used to represent some thing (ie. those depictions which are particularly representative of something, eg. one's photo on a homepage)."
"58","3","isPrimaryTopicOf","is primary topic of","A document that this thing is the primary topic of."
"59","3","knows","knows","A person known by this person (indicating some level of reciprocated interaction between the parties)."
"60","3","logo","logo","A logo representing some thing."
"61","3","made","made","Something that was made by this agent."
"62","3","maker","maker","An agent that made this thing."
"63","3","member","member","Indicates a member of a Group."
"64","3","page","page","A page or document about this thing."
"65","3","primaryTopic","primary topic","The primary topic of some page or document."
"66","3","thumbnail","thumbnail","A derived thumbnail image."
"67","4","abridgement","abridgement","A property representing an abridgment of an expression."
"68","4","abridgementOf","abridgement of","A property representing an expression that is abridged."
"69","4","adaption","adaption","A property representing an adaption of a work or expression."
"70","4","adaptionOf","adaption of","A property representing a work or expression that is adapted."
"71","4","alternate","alternate","A property representing an alternative to a manifestation."
"72","4","alternateOf","alternate of","A property representing a manifestation that is alternated."
"73","4","arrangement","arrangement","A property representing an arrangement of an expression."
"74","4","arrangementOf","arrangement of","A property representing an expression that is arranged."
"75","4","complement","complement","A property representing a complement to a work or expression."
"76","4","complementOf","complement of","A property representing a work or expression that is complemented."
"77","4","creator","creator","A property representing an entity in some way responsible for the creation of a work."
"78","4","creatorOf","creator of","A property representing a work that was in some way created by of an entity."
"79","4","embodiment","embodiment","A property representing a manifestation that embodies an expression."
"80","4","embodimentOf","embodiment of","A property representing an expression that is embodied by a manifestation."
"81","4","exemplar","exemplar","A property representing an item that is an exemplar of a manifestation."
"82","4","exemplarOf","exemplar of","A property representing the manifestation that is exemplified by a item."
"83","4","imitation","imitation","A property representing an imitation of a work or expression."
"84","4","imitationOf","imitation of","A property representing a work or expression that is imitated."
"85","4","owner","owner","A property representing an entity that owns an item."
"86","4","ownerOf","owner of","A property representing an item that is in some way owned an entity."
"87","4","part","part","A property representing a part of an endeavour."
"88","4","partOf","part of","A property representing an endeavour incorporating an endeavour."
"89","4","producer","producer","A property representing an entity in some way responsible for producing a manifestation."
"90","4","producerOf","producer of","A property representing a manifestation that was in some way produced an entity."
"91","4","realization","realization","A property representing an expression that is an intellectual or artistic realization of a work."
"92","4","realizationOf","realization of","A property representing the work that has been realized by an expression."
"93","4","realizer","realizer","A property representing an entity in some way responsible for realizing an expression."
"94","4","realizerOf","realizer of","A property representing an expression that was in some way realized by an entity."
"95","4","reconfiguration","reconfiguration","A property representing a recongifuration of an item."
"96","4","reconfigurationOf","reconfiguration of","A property representing an item that is reconfigured."
"97","4","relatedEndeavour","related endeavour","A property representing another endeavour that is related in some way to an endeavour."
"98","4","reproduction","reproduction","A property representing a reproduction of a manifestation or item."
"99","4","reproductionOf","reproduction of","A property representing a manifestation or item that is reproduced."
"100","4","responsibleEntity","responsible entity","A property representing an entity in some way responsible for an endeavour."
"101","4","responsibleEntityOf","responsible entity of","A property representing an endeavour that is the responsibility of an entity."
"102","4","revision","revision","A property representing a revision of an expression."
"103","4","revisionOf","revision of","A property representing an expression that is revised."
"104","4","successor","successor","A property representing a successor to a work or expression."
"105","4","successorOf","successor of","A property representing a work or expression that is succeeded."
"106","4","summarization","summarization","A property representing a summarization of a work or expression."
"107","4","summarizationOf","summarization of","A property representing a work or expression that is summarized."
"108","4","supplement","supplement","A property representing a supplement to a work or expression."
"109","4","supplementOf","supplement of","A property representing a work or expression that is supplemented."
"110","4","transformation","transformation","A property representing a transformation of a work or expression."
"111","4","transformationOf","transformation of","A property representing a work or expression that is transformed."
"112","4","translation","translation","A property representing a translation of an expression."
"113","4","translationOf","translation of","A property representing an expression that is translated."
"114","6","parent","Parent","A person that takes the parent role in an event"
"115","6","participant","Participant","A person, group or organization that participates in a relationship for some time"
"116","6","relationship","Relationship","A relationship that a person, group or organization participates in for some time"
"117","6","employer","Employer","An agent that is involved in an event as an employer"
"118","6","officiator","Officiator","A person that officiates at a ceremonial event."
"119","6","organization","Organization","An organization that plays a role in an event."
"120","6","principal","Principal","A person that takes the primary and most important role in an event. For example the principal in a Birth event would be the child being born and the principal in a Burial event would be the deceased person."
"121","6","partner","Partner","A person that is involved in a event as a partner in a relationship."
"122","6","witness","Witness","A person that witnesses and can bear testimony to the occurrence of an event."
"123","6","spectator","Spectator","A person that is present at and observes the occurrence of at least part of an event."
"124","6","concurrentEvent","Concurrent Event","An event that occurs while this event is occurring. The events need not start or conclude at the same times."
"125","6","followingEvent","Following Event","An event that starts at some time after this event."
"126","6","precedingEvent","Preceding Event","An event that occurs and concludes at some time before this event."
"127","6","immediatelyFollowingEvent","Immediately Following Event","An event that starts immediately after this event."
"128","6","immediatelyPrecedingEvent","Immediately Preceding Event","An event that occurs and concludes immediately before this event."
